bit_count;stride;training_length;input;output;runtime
1;64;30;1;1;109603
1;64;30;1;1;112661
1;64;30;1;1;106976
1;64;30;1;1;97723
1;64;30;0;0;98343
1;64;30;0;1;126279
1;64;30;1;1;101902
1;64;30;0;0;127025
1;64;30;0;1;97767
1;64;30;0;1;101697
1;64;30;1;1;110126
1;64;30;0;1;123543
1;64;30;0;1;120924
1;64;30;0;1;114522
1;64;30;1;1;103088
1;64;30;0;0;97275
1;64;30;0;0;108296
1;64;30;1;1;98934
1;64;30;0;1;103438
1;64;30;1;1;114771
1;64;30;0;0;120586
1;64;30;1;1;116073
1;64;30;0;0;101202
1;64;30;0;0;139835
1;64;30;1;1;111898
1;64;30;0;1;113876
1;64;30;0;1;107029
1;64;30;0;1;124616
1;64;30;0;1;120184
1;64;30;1;1;98377
1;64;30;0;1;122995
1;64;30;1;1;115547
1;64;30;1;1;114220
1;64;30;1;1;99746
1;64;30;0;0;100876
1;64;30;0;0;112624
1;64;30;1;1;120891
1;64;30;0;0;117311
1;64;30;1;1;104552
1;64;30;1;1;104963
1;64;30;1;1;104399
1;64;30;0;1;96272
1;64;30;1;1;104117
1;64;30;0;0;140538
1;64;30;0;1;107130
1;64;30;0;1;143127
1;64;30;0;0;96467
1;64;30;0;1;97514
1;64;30;1;1;96192
1;64;30;1;1;105604
1;64;30;0;0;98488
1;64;30;0;1;111256
1;64;30;1;1;103752
1;64;30;1;1;108093
1;64;30;0;0;98910
1;64;30;1;1;127350
1;64;30;1;1;102844
1;64;30;1;1;116341
1;64;30;1;1;95642
1;64;30;0;0;113061
1;64;30;1;1;105954
1;64;30;1;1;103934
1;64;30;1;1;110976
1;64;30;1;1;110616
1;64;30;1;1;119672
1;64;30;1;1;115870
1;64;30;0;0;106144
1;64;30;1;1;97065
1;64;30;0;0;111518
1;64;30;1;1;120455
1;64;30;0;0;112305
1;64;30;1;1;103832
1;64;30;0;1;97866
1;64;40;1;1;163664
1;64;40;1;1;114292
1;64;40;0;0;122781
1;64;40;0;1;105854
1;64;40;1;1;113123
1;64;40;1;1;138405
1;64;40;1;1;117193
1;64;40;1;1;125544
1;64;40;0;0;121355
1;64;40;1;1;116771
1;64;40;1;1;111387
1;64;40;1;1;112286
1;64;40;0;0;119324
1;64;40;0;1;125733
1;64;40;1;1;119723
1;64;40;1;1;108785
1;64;40;0;1;120379
