bit_count;stride;training_length;input;output;runtime
2;64;0;01;11;57297
2;64;0;10;11;98512
2;64;0;00;00;59591
2;64;0;11;11;62774
2;64;0;11;11;60709
2;64;0;00;00;61033
2;64;0;11;11;69628
2;64;0;01;01;55316
2;64;0;01;01;67215
2;64;0;11;11;64540
2;64;0;10;11;63360
2;64;0;11;00;60440
2;64;0;01;11;153714
2;64;0;01;00;68459
2;64;0;11;11;62575
2;64;0;11;11;59623
2;64;0;11;11;55859
2;64;0;10;11;67106
2;64;0;01;11;68736
2;64;0;00;00;64873
2;64;0;01;10;58794
2;64;0;10;01;61613
2;64;0;01;00;65549
2;64;0;00;00;61867
2;64;10;11;11;66367
2;64;10;11;11;71047
2;64;10;10;10;67701
2;64;10;10;10;72899
2;64;10;01;10;66017
2;64;10;11;11;66022
2;64;10;01;00;69305
2;64;10;01;01;74624
2;64;10;00;11;63149
2;64;10;11;11;64634
2;64;10;11;11;72538
2;64;10;11;11;146458
2;64;10;00;00;105903
2;64;10;10;10;62064
2;64;10;11;11;70703
2;64;10;01;01;69582
2;64;10;00;11;59380
2;64;10;01;10;62077
2;64;10;10;11;68532
2;64;10;01;01;66668
2;64;10;11;11;66585
2;64;10;00;00;66246
2;64;10;10;10;64350
2;64;10;10;10;69472
2;64;10;01;11;100023
2;64;10;01;11;68764
2;64;10;01;00;102208
2;64;10;01;01;72462
2;64;10;11;00;64439
2;64;10;11;11;65651
2;64;10;01;11;60271
2;64;10;00;01;65805
2;64;10;10;00;60549
2;64;10;11;00;70581
2;64;10;10;11;64740
2;64;10;00;11;75120
2;64;10;00;01;65907
2;64;10;11;00;68027
2;64;10;00;00;76249
2;64;10;00;00;70790
2;64;10;10;10;65390
2;64;10;01;10;53761
2;64;10;10;10;59239
2;64;10;00;01;64835
2;64;10;01;01;61135
2;64;10;10;00;67184
2;64;10;01;01;66573
2;64;10;10;10;106341
2;64;10;11;11;70635
2;64;10;00;00;72673
2;64;10;10;11;61258
2;64;10;01;10;211435
2;64;10;10;11;76304
2;64;10;10;10;67433
2;64;10;00;01;65934
2;64;10;10;10;59515
2;64;10;11;11;70253
2;64;10;10;11;64676
2;64;10;01;01;65367
2;64;10;11;11;65675
2;64;10;01;10;64182
2;64;10;10;11;65403
2;64;10;10;11;74607
2;64;10;11;11;69617
2;64;10;00;00;75401
2;64;10;01;10;71047
2;64;10;11;00;59584
2;64;10;11;11;68509
2;64;10;10;10;67749
2;64;10;01;11;60288
2;64;10;00;00;88444
2;64;10;00;00;72384
2;64;10;10;10;81810
2;64;10;00;00;61988
2;64;10;10;10;73583
2;64;10;11;11;64830
2;64;10;01;10;66369
2;64;10;10;11;71519
2;64;10;00;01;66924
2;64;10;11;11;69464
2;64;10;11;11;72369
2;64;10;00;00;66501
2;64;10;11;11;64272
2;64;10;01;10;69134
2;64;10;01;01;88373
2;64;10;11;11;65541
2;64;10;10;11;66086
2;64;10;11;11;62755
2;64;10;01;01;68439
2;64;10;01;10;78588
2;64;10;11;11;64120
2;64;10;11;11;77020
2;64;10;11;00;65109
2;64;10;10;11;67995
2;64;10;01;10;65066
2;64;10;00;01;73536
2;64;10;01;10;69338
2;64;10;10;11;58619
2;64;10;01;10;67703
2;64;10;00;01;72853
2;64;20;11;00;77951
2;64;20;11;11;69208
2;64;20;10;11;98663
2;64;20;10;10;146252
2;64;20;01;00;143750
2;64;20;11;11;76736
2;64;20;01;11;77163
2;64;20;01;01;73379
2;64;20;00;00;76740
2;64;20;11;11;69103
2;64;20;11;11;70333
2;64;20;11;11;73817
2;64;20;00;00;71447
2;64;20;10;11;72084
2;64;20;11;11;71037
2;64;20;01;00;65992
2;64;20;00;10;71162
2;64;20;01;01;72509
2;64;20;10;11;72314
2;64;20;01;01;81287
2;64;20;11;11;79931
2;64;20;00;00;73289
2;64;20;10;00;76405
2;64;20;10;00;72314
2;64;20;01;01;71832
2;64;20;01;10;72272
2;64;20;01;10;75977
2;64;20;01;10;79963
2;64;20;11;11;70716
2;64;20;11;00;69456
2;64;20;01;01;102129
2;64;20;00;10;71744
2;64;20;10;10;70957
2;64;20;11;11;133007
2;64;20;10;11;68344
2;64;20;00;01;70353
2;64;20;00;00;76340
2;64;20;11;11;73986
2;64;20;00;00;77140
2;64;20;00;01;80454
2;64;20;10;10;76007
2;64;20;01;01;72488
2;64;20;10;00;84331
2;64;20;00;00;79170
2;64;20;01;10;63468
2;64;20;10;00;72254
2;64;20;01;11;75767
2;64;20;10;11;73605
2;64;20;11;11;68576
2;64;20;00;00;77387
2;64;20;10;10;73328
2;64;20;01;00;71997
2;64;20;10;10;69052
2;64;20;10;11;78949
2;64;20;00;10;75677
2;64;20;10;10;72974
2;64;20;11;00;148441
2;64;20;10;10;165228
2;64;20;01;00;75596
2;64;20;11;11;76298
2;64;20;01;10;82003
2;64;20;10;00;76692
2;64;20;10;00;69820
2;64;20;11;11;68515
2;64;20;00;00;77284
2;64;20;01;10;71657
2;64;20;11;11;71265
2;64;20;11;11;65145
2;64;20;10;10;81018
2;64;20;01;10;75625
2;64;20;00;00;76492
2;64;20;00;00;70518
2;64;20;10;11;75739
2;64;20;00;10;73964
2;64;20;10;11;78477
2;64;20;11;11;75211
2;64;20;01;00;74957
2;64;20;10;11;69692
2;64;20;00;01;64062
2;64;20;11;11;68134
2;64;20;11;11;70208
2;64;20;00;00;79469
2;64;20;11;11;86326
2;64;20;01;01;71035
2;64;20;01;11;171961
2;64;20;11;11;73373
2;64;20;10;11;82830
2;64;20;11;01;78825
2;64;20;01;10;69549
2;64;20;01;10;69193
2;64;20;11;11;74148
2;64;20;11;11;75913
2;64;20;11;11;76123
2;64;20;10;11;72044
2;64;20;01;00;77590
2;64;20;00;00;73924
2;64;20;01;00;76490
2;64;20;10;10;113982
2;64;20;01;01;78532
2;64;20;00;01;76401
2;64;30;11;11;76375
2;64;30;11;11;93507
2;64;30;10;11;83222
2;64;30;10;10;135091
2;64;30;01;10;78963
2;64;30;11;11;97883
2;64;30;01;11;182361
2;64;30;01;01;97200
2;64;30;00;10;82487
2;64;30;11;11;74504
2;64;30;11;11;79748
2;64;30;11;11;87811
2;64;30;00;00;94825
2;64;30;10;01;172807
2;64;30;11;11;94518
2;64;30;01;00;176863
2;64;30;00;00;92481
2;64;30;01;11;88486
2;64;30;10;00;101258
2;64;30;01;00;107877
2;64;30;11;11;142607
2;64;30;00;11;179236
2;64;30;10;10;192558
2;64;30;10;10;89122
2;64;30;01;11;85188
2;64;30;01;01;92888
2;64;30;01;01;193177
2;64;30;01;11;83945
2;64;30;11;11;77385
2;64;30;11;00;85926
2;64;30;01;11;105720
2;64;30;00;01;105357
2;64;30;10;11;86043
2;64;30;11;11;80232
2;64;30;10;00;82441
2;64;30;00;00;106922
2;64;30;00;00;88388
2;64;30;11;11;77097
2;64;30;00;00;78439
2;64;30;00;00;76871
2;64;30;10;00;80896
2;64;30;01;11;75664
2;64;30;10;10;75802
2;64;30;00;00;82414
2;64;30;01;01;75782
2;64;30;10;00;93269
2;64;30;01;10;79769
2;64;30;10;11;74833
2;64;30;11;11;87335
2;64;30;00;00;74736
2;64;30;10;11;79774
2;64;30;01;11;74455
2;64;30;10;10;73980
2;64;30;10;11;71868
2;64;30;00;00;84581
2;64;30;10;10;81053
2;64;30;11;11;96471
2;64;30;10;10;84172
2;64;30;01;10;80180
2;64;30;11;10;79584
2;64;30;01;01;88031
2;64;30;10;10;77722
2;64;30;10;11;81928
2;64;30;11;11;73579
2;64;30;00;00;73784
2;64;30;01;11;81422
2;64;30;11;11;65355
2;64;30;11;11;74773
2;64;30;10;10;83693
2;64;30;01;00;87139
2;64;30;00;10;78858
2;64;30;00;01;162524
2;64;30;10;00;82749
2;64;30;00;11;161406
2;64;30;10;11;82431
2;64;30;11;11;80700
2;64;30;01;01;78858
2;64;30;10;00;79981
2;64;30;00;11;75393
2;64;30;11;11;72066
2;64;30;11;00;88944
2;64;30;00;10;89122
2;64;30;11;00;73393
2;64;30;01;01;74864
2;64;30;01;01;81611
2;64;30;11;11;85587
2;64;30;10;11;74696
2;64;30;11;00;77857
2;64;30;01;01;74422
2;64;30;01;01;81214
2;64;30;11;11;81836
2;64;30;11;11;78093
2;64;30;11;11;78709
2;64;30;10;11;77696
2;64;30;01;10;72026
2;64;30;00;10;76494
2;64;30;01;10;76601
2;64;30;10;11;76117
2;64;30;01;00;74612
2;64;30;00;11;170098
2;64;40;11;11;125353
2;64;40;11;11;359907
2;64;40;10;10;188390
2;64;40;10;00;176131
2;64;40;01;01;83376
2;64;40;11;11;88161
2;64;40;01;10;79621
2;64;40;01;11;94704
2;64;40;00;11;79211
2;64;40;11;11;156249
2;64;40;11;11;89463
2;64;40;11;01;112341
2;64;40;00;11;82249
2;64;40;10;10;79599
2;64;40;11;11;84149
2;64;40;01;11;88851
2;64;40;00;00;98213
2;64;40;01;01;90627
2;64;40;10;10;87482
2;64;40;01;01;84061
2;64;40;11;11;78870
2;64;40;00;00;81428
2;64;40;10;10;85353
2;64;40;10;11;82988
2;64;40;01;01;80094
2;64;40;01;01;92765
2;64;40;01;01;134098
2;64;40;01;00;87583
2;64;40;11;11;94564
2;64;40;11;11;90945
2;64;40;01;01;88366
2;64;40;00;00;82033
2;64;40;10;11;78293
2;64;40;11;11;91635
2;64;40;10;10;92477
2;64;40;00;11;82630
2;64;40;00;00;87490
2;64;40;11;11;82879
2;64;40;00;01;84339
2;64;40;00;01;78704
2;64;40;10;10;275513
2;64;40;01;11;77859
2;64;40;10;10;78323
2;64;40;00;00;83849
2;64;40;01;01;87714
2;64;40;10;11;83542
2;64;40;01;10;75968
2;64;40;10;11;77675
2;64;40;11;11;107285
2;64;40;00;00;189756
2;64;40;10;10;157175
2;64;40;01;11;407505
2;64;40;10;11;89352
