bit_count;stride;training_length;input;output;runtime
1;64;40;0;1;68126
1;64;40;0;1;68829
1;64;40;0;1;69028
1;64;40;1;1;67642
1;64;40;1;1;73226
1;64;40;1;1;69833
1;64;40;1;1;69802
1;64;40;1;1;72799
1;64;40;1;1;77111
1;64;40;1;1;69631
1;64;40;0;1;70208
1;64;40;0;0;72815
1;64;40;1;1;80595
1;64;40;0;1;81039
1;64;40;0;1;70523
1;64;40;0;1;69133
1;64;40;1;1;73835
1;64;40;0;1;69475
1;64;40;0;0;75929
1;64;40;0;1;69042
1;64;40;1;1;70109
1;64;40;0;1;72373
1;64;40;0;1;80771
1;64;40;1;1;73095
1;64;40;0;0;69389
1;64;40;1;1;68953
1;64;40;0;1;71877
1;64;40;1;1;69406
1;64;40;0;1;81886
1;64;40;0;0;77061
1;64;40;1;1;83074
1;64;40;0;0;69613
1;64;40;0;1;71231
1;64;40;0;0;76529
1;64;40;0;1;69347
1;64;40;1;1;73099
1;64;40;0;1;74600
1;64;40;1;1;78701
1;64;40;1;1;77542
1;64;40;1;1;73313
1;64;40;0;0;69363
1;64;40;0;0;76980
1;64;40;1;1;70468
1;64;40;0;0;68909
1;64;40;1;1;69232
1;64;40;1;1;68459
1;64;40;1;1;88044
1;64;40;0;0;69445
1;64;40;1;1;72678
1;64;40;0;0;67089
1;64;40;0;0;69236
1;64;40;0;0;73400
1;64;40;0;1;70007
1;64;40;0;1;68375
1;64;40;1;1;70882
1;64;40;1;1;68971
1;64;40;0;1;75835
1;64;40;0;0;75711
1;64;40;1;1;73092
1;64;40;1;1;74135
1;64;40;0;1;76724
1;64;40;1;1;73296
1;64;40;1;1;68120
1;64;40;1;1;81284
1;64;40;1;1;69071
1;64;40;0;0;110625
1;64;40;1;1;69792
1;64;40;1;1;74176
1;64;40;1;1;128581
1;64;40;1;1;85882
1;64;40;1;1;69980
1;64;40;1;1;67963
1;64;40;0;0;69165
1;64;40;1;1;77524
1;64;40;0;0;73712
1;64;40;1;1;167034
1;64;40;0;1;163671
1;64;40;1;1;143917
1;64;40;0;1;162404
1;64;50;1;1;157587
1;64;50;1;1;162227
1;64;50;0;1;157672
1;64;50;0;0;73431
1;64;50;1;1;87865
1;64;50;1;1;73250
1;64;50;1;1;73515
1;64;50;1;1;78039
1;64;50;0;1;78305
1;64;50;1;1;194329
1;64;50;1;1;155286
1;64;50;1;1;127844
1;64;50;0;0;120336
1;64;50;0;0;88256
1;64;50;1;1;161201
1;64;50;1;1;152217
1;64;50;0;1;113361
1;64;50;1;1;80478
1;64;50;0;1;89957
1;64;50;1;1;75413
1;64;50;1;1;165165
1;64;50;0;1;76863
1;64;50;0;0;110313
1;64;50;0;1;155957
1;64;50;1;1;116754
1;64;50;1;1;112876
1;64;50;1;1;75727
1;64;50;1;1;89251
1;64;50;1;1;163485
1;64;50;1;1;118162
1;64;50;1;1;80143
1;64;50;0;1;84960
1;64;50;0;0;81565
1;64;50;1;1;76224
