n_b;n_a;stride;training_length;input;output;runtime
10;4;4096;20;1011100001000111011000010101001011000111;0000000000000000000000000000000000000000;252386
10;4;4096;20;0110000001100010001110100000111100110000;0110000001100010001110100000111100110000;340910
10;4;4096;20;0110110010010001111100101111001011000010;0110110010010001111100101111001011000010;371668
10;4;4096;20;1001100010010010000111101001111000001110;0000000000000000000000000000000000000000;368756
10;4;4096;20;1101110101111101111100001110101101001001;0000000000000000000000000000000000000000;373168
10;4;4096;20;1011000001111000000011000110110011011101;1011000001111000000011000110110011011101;385602
10;4;4096;20;1010001100101001110110001000111010110101;0000000000000000000000000000000000000000;268065
10;4;4096;20;1000110000101000011111001001101000100101;0000000000000000000000000000000000000000;278172
10;4;4096;20;1000110001001000000010000000100101110011;0000000000000000000000000000000000000000;370475
10;4;4096;20;0011111101010101101001000100111101110111;0011111101010101101001000100111101110111;242370
10;4;4096;20;0001110000011001111111101011101110100101;0000000000000000000000000000000000000000;243065
10;4;4096;20;0110011101101100000010111010111001001000;0110011101101100000010111010111001001000;246101
10;4;4096;20;1001110110100001110110000110101000001010;0000000000000000000000000000000000000000;285337
10;4;4096;20;0010000110111101010100000101010111100111;0000000000000000000000000000010111100111;354839
10;4;4096;20;1111001010101110100101100000100001000110;1111001010101110100101100000100001000110;266494
10;4;4096;20;1000001100001100111110011000111110001000;0000000000000000000000000000000000000000;262333
10;4;4096;20;0101110110010000110100110100100011100100;0101110110010000110100110100100011100100;269527
10;4;4096;20;0011110011111111111001110100100110110111;0010011001100110011001100110011001100110;245815
10;4;4096;20;0100010001001010111111001000010001101000;0100010001001010111111001000000001101000;714803
10;4;4096;20;1011000100110001111000111011100000011100;0000000000000000000000000000000000000000;295620
10;4;4096;20;1000001101011010000001011010100110011010;1000001101011010000001011010100110011010;247771
10;4;4096;20;1111101001001101010011001011001001101101;1111101001001101010011001011001001101101;244450
10;4;4096;20;0110010000101001001100010110010001000110;0110010000101001001100010110010001000110;266897
10;4;4096;20;0101100011011010110010010101111101000100;0000000000000000000000000000000000000000;323729
10;4;4096;20;1001010101010100001110011101110011111001;0000000000000000000000000000000000000000;269353
10;4;4096;20;1111111101111011001110110000101110010010;0000000000000000000000000000000000000000;366914
10;4;4096;20;1111000001001101110110001110110101000101;1111000001001101110110001110110101000101;243858
10;4;4096;20;0010101010100101111110110100001111000110;0000000000000000000000000000000000000000;314403
10;4;4096;20;1011110011101100000010101100011111100111;1011000011101100000010101100011111100111;393113
10;4;4096;20;1011010101011100111110110100010111111100;1011010101011100111110110100010111111100;248895
10;4;4096;20;1011011110101101000001100111111000101010;0000000000000000000000000000000000000000;244088
10;4;4096;20;1111101010101001100011110111010010011001;0000000000000000000011110000010000000000;582956
10;4;4096;20;0001111110101010000010000111010110100010;0001111110101010000010000111010110100010;283128
10;4;4096;20;0000010010010111000011100101000010011110;0000010010010111000011100101000010011110;245999
10;4;4096;20;1101010110001001010000001111101000001000;1101010110001001010000001111101000001000;287746
10;4;4096;20;1101001011101011000110101010110101000110;0000000000000000000000000000000000000000;273395
10;4;4096;20;0010100011011101100001010110011000111111;0000000000000000000000000000000000000000;253972
10;4;4096;20;1001111101010000001010001010110111011010;0000000000000000000000001010110111011010;363202
10;4;4096;20;1110001110101111100110011110001101101001;0110011001100110011001100110011001100110;330826
10;4;4096;20;0101010000010100000011000001011111101111;0101010000010100000011000001011111101111;270332
10;4;4096;20;1000000010111001110001011010000000111001;0000000000000000000000000000000000000000;247548
10;4;4096;20;1100000100001011111110100010100000110010;0000000000000000000000000010100000110010;410123
10;4;4096;20;0100110100100000111001101000001011000010;0100110100100000111001101000001011000010;248466
10;4;4096;20;0011111110000111001000000110001000101011;0000000000000000000000000000000000000000;248849
10;4;4096;20;0011010111011000111011011111110010101000;0000000000000000000000000000000000000000;257378
10;4;4096;20;0100011001001010001110001010010101100001;0100011001001010001110001010010101100000;255645
10;4;4096;20;1111010111000010101100001101010100010111;1111010111000010101100001101010100000111;313100
10;4;4096;20;1001010110011111001011110101101110001111;0000000000000000000000000000000000000000;246444
10;4;4096;20;0000011100001100110110000110001010001010;0000000000000000000000000000000000000000;272741
10;4;4096;20;0101110000010000101111101001100100011101;0101110000010000101111101001100100011101;256833
10;4;4096;20;0000111101011000101010010000111001000000;0000000000000000000000000000000000000000;239531
10;4;4096;20;0011101000111011000000110011010010010100;0000000000000000000000000000000000000000;245993
10;4;4096;20;1010010011011011000010010100110110111110;0000000000000000000000000000000000000000;240570
10;4;4096;20;0000101010001011010110110011110000010000;0000000000000000000000000000000000000000;382594
10;4;4096;20;1101110110101011100000101100011101110110;0000000000000000000000000000000000000000;286127
10;4;4096;20;1011110010011001011110100011111111010011;0000000000000000000000000000000000000000;318462
10;4;4096;20;1011000101011110001101111100100011100001;1011000101011110001101111100100011100001;246229
10;4;4096;20;1010110111010010110001010111101010110010;1010110111010010110001010111101010110010;283858
10;4;4096;20;0110111111100001010011011110010001110000;0110111111100001010011011110010001110000;309386
10;4;4096;20;0101101000010010010110000000101000000011;0101101000010010010110000000101000000011;244370
10;4;4096;20;0001110001100010001100001010000101000011;0000000000000000000000000000000000000000;279438
10;4;4096;20;0101111110111111011110011110111000011100;0000000000000000000000000000111000011100;290714
10;4;4096;20;0111010000110001011110100110010011010111;0000000000000000000000000000000000000000;357580
10;4;4096;20;0011010110111110111111000010101111110001;0011010110111110111111000010101111110001;238759
10;4;4096;20;0101101111010000001010110001010000000101;0000000000000000000000000000000000000000;421276
10;4;4096;20;1011100100010101011010010101010101110011;0000000000000000000000000000000000000000;282426
10;4;4096;20;1100100010001000000010101110100101001110;1100100010001000000010101110100101001110;253281
